I1022 01:59:32.040863 76233 caffe.cpp:355] Average time per layer: 
I1022 01:59:32.040877 76233 caffe.cpp:358]       data   forward: 12.9732 ms.
I1022 01:59:32.040892 76233 caffe.cpp:361]       data   backward: 0.0006 ms.
I1022 01:59:32.040904 76233 caffe.cpp:358]    conv1_1   forward: 163.299 ms.
I1022 01:59:32.040917 76233 caffe.cpp:361]    conv1_1   backward: 0.05542 ms.
I1022 01:59:32.040928 76233 caffe.cpp:358]    relu1_1   forward: 66.6631 ms.
I1022 01:59:32.040940 76233 caffe.cpp:361]    relu1_1   backward: 0.00028 ms.
I1022 01:59:32.040951 76233 caffe.cpp:358]    conv1_2   forward: 2409.23 ms.
I1022 01:59:32.040962 76233 caffe.cpp:361]    conv1_2   backward: 1.93078 ms.
I1022 01:59:32.040972 76233 caffe.cpp:358]    relu1_2   forward: 66.6928 ms.
I1022 01:59:32.040983 76233 caffe.cpp:361]    relu1_2   backward: 0.00044 ms.
I1022 01:59:32.040994 76233 caffe.cpp:358]      pool1   forward: 154.344 ms.
I1022 01:59:32.041005 76233 caffe.cpp:361]      pool1   backward: 0.0004 ms.
I1022 01:59:32.041016 76233 caffe.cpp:358]    conv2_1   forward: 917.637 ms.
I1022 01:59:32.041028 76233 caffe.cpp:361]    conv2_1   backward: 0.24694 ms.
I1022 01:59:32.041039 76233 caffe.cpp:358]    relu2_1   forward: 33.3834 ms.
I1022 01:59:32.041050 76233 caffe.cpp:361]    relu2_1   backward: 0.00048 ms.
I1022 01:59:32.041061 76233 caffe.cpp:358]    conv2_2   forward: 1784.38 ms.
I1022 01:59:32.041075 76233 caffe.cpp:361]    conv2_2   backward: 0.97598 ms.
I1022 01:59:32.041087 76233 caffe.cpp:358]    relu2_2   forward: 33.3793 ms.
I1022 01:59:32.041100 76233 caffe.cpp:361]    relu2_2   backward: 0.00084 ms.
I1022 01:59:32.041111 76233 caffe.cpp:358]      pool2   forward: 74.8576 ms.
I1022 01:59:32.041123 76233 caffe.cpp:361]      pool2   backward: 0.00022 ms.
I1022 01:59:32.041136 76233 caffe.cpp:358]    conv3_1   forward: 747.364 ms.
I1022 01:59:32.041177 76233 caffe.cpp:361]    conv3_1   backward: 0.14432 ms.
I1022 01:59:32.041195 76233 caffe.cpp:358]    relu3_1   forward: 16.6984 ms.
I1022 01:59:32.041213 76233 caffe.cpp:361]    relu3_1   backward: 0.00046 ms.
I1022 01:59:32.041225 76233 caffe.cpp:358]    conv3_2   forward: 1486.06 ms.
I1022 01:59:32.041242 76233 caffe.cpp:361]    conv3_2   backward: 0.27322 ms.
I1022 01:59:32.041259 76233 caffe.cpp:358]    relu3_2   forward: 16.7184 ms.
I1022 01:59:32.041275 76233 caffe.cpp:361]    relu3_2   backward: 0.0004 ms.
I1022 01:59:32.041288 76233 caffe.cpp:358]    conv3_3   forward: 1486.16 ms.
I1022 01:59:32.041301 76233 caffe.cpp:361]    conv3_3   backward: 0.52148 ms.
I1022 01:59:32.041314 76233 caffe.cpp:358]    relu3_3   forward: 16.6965 ms.
I1022 01:59:32.041328 76233 caffe.cpp:361]    relu3_3   backward: 0.00032 ms.
I1022 01:59:32.041347 76233 caffe.cpp:358]      pool3   forward: 39.2031 ms.
I1022 01:59:32.041373 76233 caffe.cpp:361]      pool3   backward: 0.00038 ms.
I1022 01:59:32.041384 76233 caffe.cpp:358]    conv4_1   forward: 666.385 ms.
I1022 01:59:32.041398 76233 caffe.cpp:361]    conv4_1   backward: 0.09666 ms.
I1022 01:59:32.041411 76233 caffe.cpp:358]    relu4_1   forward: 8.35506 ms.
I1022 01:59:32.041424 76233 caffe.cpp:361]    relu4_1   backward: 0.00036 ms.
I1022 01:59:32.041435 76233 caffe.cpp:358]    conv4_2   forward: 1344.47 ms.
I1022 01:59:32.041450 76233 caffe.cpp:361]    conv4_2   backward: 0.18162 ms.
I1022 01:59:32.041463 76233 caffe.cpp:358]    relu4_2   forward: 8.34732 ms.
I1022 01:59:32.041476 76233 caffe.cpp:361]    relu4_2   backward: 0.00084 ms.
I1022 01:59:32.041491 76233 caffe.cpp:358]    conv4_3   forward: 1344.21 ms.
I1022 01:59:32.041504 76233 caffe.cpp:361]    conv4_3   backward: 0.31692 ms.
I1022 01:59:32.041517 76233 caffe.cpp:358]    relu4_3   forward: 8.35614 ms.
I1022 01:59:32.041532 76233 caffe.cpp:361]    relu4_3   backward: 0.00036 ms.
I1022 01:59:32.041545 76233 caffe.cpp:358]      pool4   forward: 20.3396 ms.
I1022 01:59:32.041559 76233 caffe.cpp:361]      pool4   backward: 0.0003 ms.
I1022 01:59:32.041571 76233 caffe.cpp:358]    conv5_1   forward: 367.534 ms.
I1022 01:59:32.041584 76233 caffe.cpp:361]    conv5_1   backward: 0.09296 ms.
I1022 01:59:32.041596 76233 caffe.cpp:358]    relu5_1   forward: 2.06302 ms.
I1022 01:59:32.041610 76233 caffe.cpp:361]    relu5_1   backward: 0.00034 ms.
I1022 01:59:32.041651 76233 caffe.cpp:358]    conv5_2   forward: 366.991 ms.
I1022 01:59:32.041664 76233 caffe.cpp:361]    conv5_2   backward: 0.08738 ms.
I1022 01:59:32.041676 76233 caffe.cpp:358]    relu5_2   forward: 2.0616 ms.
