I1022 02:24:33.614992 77506 caffe.cpp:355] Average time per layer: 
I1022 02:24:33.615880 77506 caffe.cpp:361]      drop6   backward: 0.00028 ms.
I1022 02:24:33.615891 77506 caffe.cpp:358]        fc7   forward: 4.36862 ms.
I1022 02:24:33.615902 77506 caffe.cpp:361]        fc7   backward: 0.00038 ms.
I1022 02:24:33.615913 77506 caffe.cpp:358]      relu7   forward: 0.01002 ms.
I1022 02:24:33.615924 77506 caffe.cpp:361]      relu7   backward: 0.00042 ms.
I1022 02:24:33.615936 77506 caffe.cpp:358]      drop7   forward: 0.04716 ms.
I1022 02:24:33.615949 77506 caffe.cpp:361]      drop7   backward: 0.00054 ms.
I1022 02:24:33.615962 77506 caffe.cpp:358]        fc8   forward: 1.09068 ms.
I1022 02:24:33.615974 77506 caffe.cpp:361]        fc8   backward: 0.00028 ms.
I1022 02:24:33.615986 77506 caffe.cpp:358]       loss   forward: 0.1011 ms.
I1022 02:24:33.615999 77506 caffe.cpp:361]       loss   backward: 0.0006 ms.
I1022 02:24:33.616022 77506 caffe.cpp:366] Average Forward pass: 915.633 ms.
I1022 02:24:33.616032 77506 caffe.cpp:368] Average Backward pass: 0.74792 ms.
I1022 02:24:33.616041 77506 caffe.cpp:370] Average Forward-Backward: 916.58 ms.
I1022 02:24:33.616051 77506 caffe.cpp:372] Total Time: 45829 ms.

