I1020 00:36:33.284781 235228 caffe.cpp:355] Average time per layer: 
I1020 00:36:33.286310 235228 caffe.cpp:361]      drop6  backward: 0.00032 ms.
I1020 00:36:33.286331 235228 caffe.cpp:358]        fc7  forward: 2.39966 ms.
I1020 00:36:33.286353 235228 caffe.cpp:361]        fc7  backward: 0.00038 ms.
I1020 00:36:33.286372 235228 caffe.cpp:358]      relu7  forward: 0.0994 ms.
I1020 00:36:33.286392 235228 caffe.cpp:361]      relu7  backward: 0.00074 ms.
I1020 00:36:33.286414 235228 caffe.cpp:358]      drop7  forward: 0.68906 ms.
I1020 00:36:33.286437 235228 caffe.cpp:361]      drop7  backward: 0.00076 ms.
I1020 00:36:33.286455 235228 caffe.cpp:358]        fc8  forward: 2.06946 ms.
I1020 00:36:33.286478 235228 caffe.cpp:361]        fc8  backward: 0.00052 ms.
I1020 00:36:33.286499 235228 caffe.cpp:358]       loss  forward: 0.99638 ms.
I1020 00:36:33.286515 235228 caffe.cpp:361]       loss  backward: 0.00086 ms.
I1020 00:36:33.286552 235228 caffe.cpp:366] Average Forward pass: 4474.63 ms.
I1020 00:36:33.286566 235228 caffe.cpp:368] Average Backward pass: 5.6693 ms.
I1020 00:36:33.286576 235228 caffe.cpp:370] Average Forward-Backward: 4480.5 ms
